BusinessID,CoordinatesLongitude,InsertedAtTimestamp,Address,CoordinatesLatitude,Rating,Cuisine,ZipCode,Name,NumberOfReviews
PqX9bDlDCc6qOZd2vw4tYw,-74.0061442013275,1555271051307,Chelsea Market,40.7423295448078,3.5,mexican,10011,Takumi Taco,198
PgTgzq8oKcP2r00YUWL03A,-74.00758,1555270471755,165 Church St,40.71511,4,italian,10007,Sole di Capri,229
bVyA5z69287U9B9W88hERg,-73.8922265,1555270372821,7301 37th Rd,40.7472744,3,indian,11372,Kabab King,304
LWghzX6Vsw1ytEFP6lA8oA,-73.9864511163941,1555270365543,344 E 6th St,40.726383463261,3.5,indian,10003,Apna Masala Indian Cuisine,195
0UIUQWmwf_yxyygLXPQ0Hw,-73.94565,1555270466971,1690 York Ave,40.77764,4,italian,10128,Mimmo Cucina Italiana,60
u_j2PopX_tFfQvrlerjmmA,-74.06517,1555270370843,806 Newark Ave,40.73585,3,indian,07306,Golconda Chimney,145
NsACuDqm5AVPpUocvuXONg,-73.98286,1555270434321,104 E 30th St,40.74421,4.5,japanese,10016,Atomix,34
DZaN3bNWfwcm__sNw5bvDg,-73.967607,1555271057642,60 E 65th St.,40.7667736797858,4.5,mexican,10065,Daniel,1508
77zkzHD6Kavy1vT-sPXxJA,-73.8485997417336,1555271089268,104-09 Metropolitan Ave,40.7102074072038,4,chinese,11375,Hang Shing Kitchen,25
j1cyPRsQBHdeOEcjqRXs3Q,-73.8207999125121,1555270376753,135-09 Lefferts Blvd,40.6702487734515,3.5,indian,11420,Jay's Roti Hut,3
4qR-Q4EQb2vXC62OZC6jdw,-73.995567,1555271134737,223 Grand St,40.718555,4.5,thai,10013,China Town Food Market,3
sQ_L8O9WMU4apxSTVa9JKg,-73.9550299,1555270367717,1005 Manhattan Ave,40.7332729,3.5,indian,11222,Agra Taj Mahal,140
Q47OUqvJ7PXwBBWB-pC2ZQ,-73.9713079,1555270439591,207 Dekalb Ave,40.6896898,3.5,japanese,11205,Sushi D,120
DguAGioaK6ZIAt_6kk93tA,-73.994903,1555271116956,472 9th Ave,40.754764,3.5,thai,10018,Thai Select,520
UL1HHTZCOJqBTgQMPtvA6Q,-73.8283919,1555270376723,91-52 Lefferts Blvd,40.6944521,3,indian,11418,Punjabi Kabab House,77
elf74aPleU0z_8muDS2sFQ,-74.0648255869746,1555270373807,796 Newark Ave,40.7357394273827,4.5,indian,07306,Madhavi's Food Court,4
vGS5X12NYXCl8NpynlxRuw,-73.9900399,1555270480263,45 W 27th St,40.74514,4,italian,10001,Oscar Wilde,481
XDv71A1J3aIOu_W5sVzZ2w,-73.9881,1555271075175,33 Saint Marks Pl,40.72904,4.5,chinese,10003,SHI MIAODAO Yunnan Rice Noodle,71
-4pRolL6EQddbv4iHrIZwQ,-73.9577729254961,1555271079310,1277 1st Ave,40.7658172332478,3.5,chinese,10021,Panda Express,87
eN7MYNtDzaMzk4WptrVw3A,-73.946823,1555271089298,2460 Nostrand Ave,40.624759,4,chinese,11210,Lucky Garden,22
H_TGP2AgX3IUmzq8Aml79Q,-74.01044,1555270463878,190-A Duane St,40.71734,4,italian,10013,L' Angolo Tribeca,83
F6gTjIhONOg_6OPkmRKGNQ,-74.11592,1555270371649,500 Schuyler Ave,40.80099,5,indian,07071,Dilkhush Indian Grill,1
c869kkUkjPM5nSGeJqVosg,-73.95254,1555270439613,1575 3rd Ave,40.78029,3.5,japanese,10128,Ooki Sushi,245
kNzjRlXzL5XJInDqNwfMgA,-73.9203027,1555270369679,32-07 30th Ave,40.7665765,4.5,indian,11103,Mysttik Masaala,3
NImSAO-1r0RYirViah2aIg,-73.9972318,1555270481027,165 Mulberry St,40.7197281,3.5,italian,10013,Amici II,224
gPId7ENK1ZA1qrNwI4z4UQ,-73.7941589355469,1555271085229,2002 Utopia Pkwy,40.7794990539551,4,chinese,11357,Legend of Taste,98
D4tGzWIAM7Z3HNoNxPS2Gw,-73.91406,1555271052296,1636 Broadway,40.68465,4,mexican,11207,El Burrito Nacho,49
